age,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
23,72,51,78,18,79,65,19,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,88,22,16,6,2,0,4,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,59,50,61,19,46,62,17,12,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,73,46,78,38,79,69,39,11,13,164,30,3,20,3,0,6,0,8,0,0,0,0,81,18,18,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,62,48,69,22,53,56,24,11,9,7,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,68,51,71,19,73,50,20,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,70,64,75,33,70,66,18,7,11,50,8,25,3,3,0,2,0,7,0,0,0,0,91,27,9,3,6,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,65,58,67,28,64,56,16,7,12,6,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,67,52,73,25,78,65,21,6,7,81,14,21,6,3,0,1,0,7,0,1,0,0,47,12,3,4,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,65,59,72,32,76,62,25,10,7,18,4,15,0,1,0,0,1,4,0,0,0,1,83,19,14,7,1,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,76,72,78,42,78,71,15,12,8,12,4,1,1,0,0,2,0,1,0,0,0,0,107,31,4,5,7,0,5,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,56,54,68,33,73,65,24,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,66,62,73,40,71,38,16,8,12,78,23,6,5,2,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,66,43,71,12,77,56,12,9,7,31,3,22,2,0,0,1,0,3,0,0,0,0,9,3,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,65,59,73,40,72,66,38,9,13,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,56,61,75,25,65,58,13,6,8,36,6,14,2,1,0,1,0,2,0,0,0,0,12,3,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,56,55,65,42,76,67,35,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,65,53,72,17,69,61,25,7,14,76,22,12,5,1,0,2,0,17,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,65,47,72,15,62,56,16,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,11,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,72,70,81,41,78,69,24,6,12,24,4,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,72,66,80,11,65,72,18,15,10,15,4,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
