age,Position,short_passing,long_passing,ball_control,interceptions,positioning,vision,marking,gk_handling,gk_reflexes,Points-16/17,Start-16/17,Sub-16/17,Goals-16/17,A-16/17,CS-16/17,Yellow-16/17,Red-16/17,Off-16/17,Pen_SV-16/17,Pen_M-16/17,Goals_conceded-16/17,OG-16/17,Points-15/16,Start-15/16,Sub-16/17.1,Goals-15/16,A-15/16,CS-15/16,Yellow-15/16,Red-15/16,Off-15/16,Pen_SV-15/16,Pen_M-15/16,Goals_conceded-15/16,OG-15/16,league_English Championship,league_English Premier League,league_French Ligue 1,league_French Ligue 2,league_German 2. Bundesliga,league_German Bundesliga,league_Italian Serie A,league_Italian Serie B,league_Spanish Primera Division,league_Spanish Segunda Division,league_Turkish Super Lig
24,Midfielder,76,70,77,37,80,77,40,15,15,105,22,3,11,2,0,1,0,12,0,1,0,0,77,17,2,6,4,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Goalkeeper,52,38,10,17,4,45,5,77,79,98,36,0,0,0,10,4,0,0,1,0,41,0,67,24,0,0,0,7,0,0,1,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0
39,Goalkeeper,27,26,23,19,10,49,12,76,72,28,29,9,0,0,3,2,0,0,0,0,66,0,103,35,2,0,0,11,2,0,0,2,0,43,0,0,0,0,0,0,0,1,0,0,0,0
29,Midfielder,68,64,73,61,71,70,33,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Midfielder,80,81,79,65,65,82,53,15,13,48,20,13,1,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Goalkeeper,26,22,23,11,11,38,13,72,72,-1,0,14,0,0,0,0,0,1,0,0,5,0,-2,1,35,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
21,Forward,60,33,74,13,65,52,11,13,14,27,6,14,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,Forward,71,41,75,21,83,62,19,12,10,21,6,14,0,0,0,2,0,3,0,0,0,0,111,26,10,10,2,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Midfielder,74,72,76,68,68,68,58,6,8,25,4,34,1,0,0,2,0,3,0,0,0,0,21,13,15,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Defender,44,44,55,68,12,23,66,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
